ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20250718,44.66,45.0,44.17,44.58,44.79,-0.21,-0.4689,147739.42,657149.463
300604.SZ,20250721,44.59,44.65,44.2,44.38,44.58,-0.2,-0.4486,114860.42,510059.221
300604.SZ,20250722,43.83,44.36,42.71,43.92,44.38,-0.46,-1.0365,247590.97,1081221.758
300604.SZ,20250723,43.96,45.3,43.94,45.02,43.92,1.1,2.5046,336869.96,1512868.585
300604.SZ,20250724,45.16,45.68,44.75,45.13,45.02,0.11,0.2443,233711.6,1055146.707
300604.SZ,20250725,45.13,45.4,44.61,45.31,45.13,0.18,0.3988,175087.61,787759.695
300604.SZ,20250728,45.58,45.69,44.89,45.09,45.31,-0.22,-0.4855,152237.2,688079.627
300604.SZ,20250729,44.83,45.23,44.69,45.05,45.09,-0.04,-0.0887,134597.81,604779.346
300604.SZ,20250730,44.9,45.15,44.03,44.34,45.05,-0.71,-1.576,153810.0,686726.003
300604.SZ,20250731,44.26,44.76,43.25,43.44,44.34,-0.9,-2.0298,164927.37,724854.586
300604.SZ,20250801,43.5,44.28,43.12,43.68,43.44,0.24,0.5525,134219.7,587576.382
300604.SZ,20250804,43.55,44.44,43.35,44.12,43.68,0.44,1.0073,113311.07,498523.185
300604.SZ,20250805,44.05,44.15,43.85,44.04,44.12,-0.08,-0.1813,93685.9,412038.134
300604.SZ,20250806,44.0,44.65,43.72,44.46,44.04,0.42,0.9537,114926.4,508332.286
300604.SZ,20250807,44.55,45.21,44.26,44.68,44.46,0.22,0.4948,200563.62,897561.606
300604.SZ,20250808,44.66,44.67,43.76,43.81,44.68,-0.87,-1.9472,132104.75,581673.661
300604.SZ,20250811,43.8,44.38,43.7,44.04,43.81,0.23,0.525,113470.23,500379.17
300604.SZ,20250812,44.05,44.8,43.66,44.7,44.04,0.66,1.4986,189832.75,840350.521
300604.SZ,20250813,44.67,45.46,44.48,45.33,44.7,0.63,1.4094,253106.41,1143703.659
300604.SZ,20250814,45.51,46.18,44.65,44.84,45.33,-0.49,-1.081,262032.79,1191210.081
300604.SZ,20250815,44.64,45.82,44.62,45.64,44.84,0.8,1.7841,222654.6,1009254.295
300604.SZ,20250818,45.98,51.9,45.64,49.55,45.64,3.91,8.567,580913.92,2821194.719
300604.SZ,20250819,49.6,49.64,48.24,48.42,49.55,-1.13,-2.2805,302655.7,1477792.226
300604.SZ,20250820,48.18,49.49,47.33,49.45,48.42,1.03,2.1272,329347.42,1596265.547
300604.SZ,20250821,49.5,49.89,48.51,48.76,49.45,-0.69,-1.3953,264812.8,1300777.49
300604.SZ,20250822,48.76,51.88,48.68,51.15,48.76,2.39,4.9016,512037.61,2588069.825
300604.SZ,20250825,52.0,54.39,50.63,51.31,51.15,0.16,0.3128,537557.78,2785849.189
300604.SZ,20250826,50.74,52.01,50.21,50.94,51.31,-0.37,-0.7211,334196.75,1706433.382
300604.SZ,20250827,51.13,61.13,50.73,59.59,50.94,8.65,16.9808,1265321.4,7356357.329
300604.SZ,20250828,60.01,62.5,58.43,61.32,59.59,1.73,2.9032,953504.34,5778191.223
300604.SZ,20250829,60.8,61.55,58.17,59.75,61.32,-1.57,-2.5603,648078.22,3866722.721
300604.SZ,20250901,60.54,64.55,57.84,62.5,59.75,2.75,4.6025,782836.92,4770825.952
300604.SZ,20250902,63.43,63.51,58.51,58.91,62.5,-3.59,-5.744,549324.29,3320491.573
300604.SZ,20250903,59.48,61.43,58.55,59.36,58.91,0.45,0.7639,450342.49,2701118.538
300604.SZ,20250904,59.75,60.3,53.36,54.16,59.36,-5.2,-8.7601,566556.06,3168632.449
300604.SZ,20250905,54.71,57.4,53.95,57.06,54.16,2.9,5.3545,381116.35,2109174.503
300604.SZ,20250908,57.86,58.86,56.6,58.5,57.06,1.44,2.5237,356576.66,2063681.591
300604.SZ,20250909,58.18,58.2,55.2,55.71,58.5,-2.79,-4.7692,263380.89,1488526.674
300604.SZ,20250910,55.91,57.48,55.6,56.45,55.71,0.74,1.3283,220319.37,1245073.188
300604.SZ,20250911,56.03,59.85,55.61,59.1,56.45,2.65,4.6944,387917.65,2256436.227
300604.SZ,20250912,60.81,62.76,59.55,61.19,59.1,2.09,3.5364,473163.3,2909551.276
300604.SZ,20250915,62.21,62.37,58.74,59.86,61.19,-1.33,-2.1736,337590.79,2019753.69
300604.SZ,20250916,60.0,61.15,59.38,59.72,59.86,-0.14,-0.2339,264350.39,1584695.075
300604.SZ,20250917,60.01,65.1,59.8,64.75,59.72,5.03,8.4226,489811.76,3078968.466
300604.SZ,20250918,66.75,68.88,63.66,64.89,64.75,0.14,0.2162,566381.85,3750239.229
300604.SZ,20250919,65.87,67.13,63.8,63.99,64.89,-0.9,-1.387,344106.08,2244184.863
300604.SZ,20250922,64.01,67.8,64.0,66.89,63.99,2.9,4.532,382318.39,2515256.454
300604.SZ,20250923,80.27,80.27,77.88,80.27,66.89,13.38,20.003,530374.24,4240697.124
300604.SZ,20250924,87.02,96.32,86.22,96.32,80.27,16.05,19.995,1239245.07,11289732.802
300604.SZ,20250925,97.73,99.5,92.4,94.59,96.32,-1.73,-1.7961,1118168.86,10587162.08
300604.SZ,20250926,94.13,96.66,90.11,95.6,94.59,1.01,1.0678,1105852.52,10361598.437
300604.SZ,20250929,95.0,106.99,94.55,104.12,95.6,8.52,8.9121,1112261.72,11046704.195
300604.SZ,20250930,104.0,107.66,98.01,99.62,104.12,-4.5,-4.3219,940317.34,9636292.007
300604.SZ,20251009,101.2,102.59,95.0,95.54,99.62,-4.08,-4.0956,812666.38,8047662.456
300604.SZ,20251010,94.51,98.76,93.51,94.75,95.54,-0.79,-0.8269,645975.75,6185127.858
300604.SZ,20251013,92.01,95.51,90.96,92.26,94.75,-2.49,-2.628,587474.19,5468588.237
300604.SZ,20251014,93.5,93.96,83.6,83.93,92.26,-8.33,-9.0288,780441.26,6849536.056
300604.SZ,20251015,84.03,85.37,83.12,84.78,83.93,0.85,1.0127,497181.9,4194761.616
300604.SZ,20251016,84.0,87.45,83.44,85.0,84.78,0.22,0.2595,477880.48,4085074.681
300604.SZ,20251017,85.0,85.51,82.44,82.83,85.0,-2.17,-2.5529,363988.59,3043133.269
300604.SZ,20251020,84.6,85.01,81.5,82.05,82.83,-0.78,-0.9417,372188.22,3096288.073
300604.SZ,20251021,82.4,85.27,81.02,84.87,82.05,2.82,3.4369,490500.62,4091350.603
300604.SZ,20251022,83.4,87.27,82.51,85.3,84.87,0.43,0.5067,476206.67,4039817.827
300604.SZ,20251023,83.73,84.25,81.52,83.43,85.3,-1.87,-2.1923,300778.6,2495328.44
300604.SZ,20251024,84.8,88.8,84.03,88.62,83.43,5.19,6.2208,647772.0,5620148.646
300604.SZ,20251027,90.48,92.89,89.11,90.81,88.62,2.19,2.4712,699626.62,6365268.455
300604.SZ,20251028,89.14,91.5,87.47,88.15,90.81,-2.66,-2.9292,511449.05,4569079.649
300604.SZ,20251029,86.85,92.52,86.85,92.52,88.15,4.37,4.9575,554430.28,4999820.174
300604.SZ,20251030,92.3,93.78,88.0,88.0,92.52,-4.52,-4.8854,535795.08,4848077.704
300604.SZ,20251031,89.76,89.78,83.32,83.6,88.0,-4.4,-5.0,430338.3,3665868.533
300604.SZ,20251103,82.65,83.5,78.88,82.42,83.6,-1.18,-1.4115,460423.6,3729955.402
300604.SZ,20251104,82.0,83.0,80.6,81.31,82.42,-1.11,-1.3468,249933.33,2044940.479
300604.SZ,20251105,79.0,80.98,78.72,79.88,81.31,-1.43,-1.7587,252624.57,2014213.633
300604.SZ,20251106,81.01,84.17,79.91,83.26,79.88,3.38,4.2313,399463.57,3295832.307
300604.SZ,20251107,82.02,84.46,81.6,82.94,83.26,-0.32,-0.3843,252146.77,2090585.719
300604.SZ,20251110,82.62,84.1,80.5,82.16,82.94,-0.78,-0.9404,262188.3,2156140.224
300604.SZ,20251111,83.3,84.44,79.59,79.76,82.16,-2.4,-2.9211,289411.96,2360187.956
300604.SZ,20251112,78.87,80.76,77.82,79.6,79.76,-0.16,-0.2006,215203.9,1703236.717
